file_identifier;key;value
71f39f403bea3faa4085a2e602f934a7;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13559-AVIS-SOC-GLASSDOOR-E13824_P1.html
71f39f403bea3faa4085a2e602f934a7;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13559-AVIS-SOC-GLASSDOOR-E13824_P1.html
71f39f403bea3faa4085a2e602f934a7;file_pattern;*AVIS-SOC*
4e8ad64f75b5e2f30f74b455dbdabf8f;file_size;290.20 Ko
4e8ad64f75b5e2f30f74b455dbdabf8f;file_name;13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html
4e8ad64f75b5e2f30f74b455dbdabf8f;import_date;29/04/2023 18:55:05
4e8ad64f75b5e2f30f74b455dbdabf8f;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html
4e8ad64f75b5e2f30f74b455dbdabf8f;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html
4e8ad64f75b5e2f30f74b455dbdabf8f;file_pattern;*AVIS-SOC*
d44ac9b3a2268349005811c4eaae99d4;file_size;392.62 Ko
d44ac9b3a2268349005811c4eaae99d4;file_name;13563-AVIS-SOC-GLASSDOOR-E13082_P1.html
d44ac9b3a2268349005811c4eaae99d4;import_date;29/04/2023 18:55:05
d44ac9b3a2268349005811c4eaae99d4;file_source;C:/Users/429300/Documents/GitHub/TD_DATALAKE/0_WEB/13563-AVIS-SOC-GLASSDOOR-E13082_P1.html
d44ac9b3a2268349005811c4eaae99d4;file_destination;C:/Users/429300/Documents/GitHub/TD_DATALAKE/1_DATALAKE/01_LANDING_ZONE/AVIS/13563-AVIS-SOC-GLASSDOOR-E13082_P1.html
d44ac9b3a2268349005811c4eaae99d4;file_pattern;*AVIS-SOC*
2a7e9b9c5eb8590399a3d67851c8ea4f;file_size;434.26 Ko
2a7e9b9c5eb8590399a3d67851c8ea4f;file_name;13563-AVIS-SOC-GLASSDOOR-E13082_P2.html
2a7e9b9c5eb8590399a3d67851c8ea4f;import_date;29/04/2023 18:55:05
